BALME DE VALFIN
SURVEY NAME: Serie-1
SURVEY DATE:   COMMENT:, Export DPTopo
SURVEY TEAM:

DECLINATION:   FORMAT: MMLRUDLADNT  CORRECTIONS: 0.00 0.00 0.00

FROM                	TO                  	LEN	BEAR	INC	LEFT	RIGHT	UP	DOWN	FLAGS	COMMENTS

                   	                   	47.48 	0.5 	0 	0 	0 	0 	0 	 	
                   	                   	116.44 	315.14 	0 	0 	0 	0 	0 	 	
                   	                   	71.53 	43.36 	0 	0 	0 	0 	0 	 	
                   	                   	41.77 	336.73 	0 	0 	0 	0 	0 	 	
                   	                   	29.33 	272.42 	0 	0 	0 	0 	0 	 	
                   	                   	22.18 	335.82 	0 	0 	0 	0 	0 	 	
                   	                   	66.18 	23.53 	0 	0 	0 	0 	0 	 	
                   	                   	58.6 	353.13 	0 	0 	0 	0 	0 	 	
                   	                   	67.46 	336.57 	0 	0 	0 	0 	0 	 	
                   	                   	128.88 	23.2 	0 	0 	0 	0 	0 	 	
                   	                   	69.16 	44.27 	0 	0 	0 	0 	0 	 	
                   	                   	47.87 	0 	0 	0 	0 	0 	0 	 	
                   	                   	47.05 	324.64 	0 	0 	0 	0 	0 	 	
                   	                   	20.21 	271.17 	0 	0 	0 	0 	0 	 	
                   	                   	65.36 	327.11 	0 	0 	0 	0 	0 	 	
                   	                   	81.96 	288.8 	0 	0 	0 	0 	0 	 	
                   	                   	12.83 	356.31 	0 	0 	0 	0 	0 	 	
                   	                   	32.61 	269.27 	0 	0 	0 	0 	0 	 	

