

*SVYNAM SECTION001
*DATEUR 22/07/2021
*SVYCOM  ;Explo 1 : 22/07/2021 Guy L / Brigitte A / Eric R / Laurent S / Alex;D:\01 Synology Drive [Blade 15
*SVYTEA                                         
*UNITS INCLINATION D
*UNITS COMPASS D
*UNITS LENGTH M
*DIVING N
*DimInStation T
*DECLIN TO ADD 2.24
; FROM TO LENGTH BEARING INC LEFT UP DOWN RIGHT FLAGS COMMENTS
00	00	0.00	0.00  	0.00  	1.03	0.93	0.98	0.96	;Point 00 Entrée vertical falaise;D:\01 Synology Drive [Blade 15]\00 A Classer sur [Cloud]\Grotte En sait tout (39)\P1020159.JPG
00	*	1.00	358.10	-3.30 	*	*	*	*	
00	*	1.04	164.90	2.70  	*	*	*	*	
00	*	0.98	253.30	86.60 	*	*	*	*	
00	*	0.98	128.40	-78.90	*	*	*	*	
00	E01	10.64	66.80 	12.70 	0.17	2.67	0.95	0.56	;oo entree vertical falaise;
E01	*	0.20	35.20 	1.60  	*	*	*	*	
E01	*	2.69	190.90	-0.70 	*	*	*	*	
E01	*	0.96	302.60	83.90 	*	*	*	*	
E01	*	0.57	137.60	-77.60	*	*	*	*	
E01	E2	5.25	120.10	11.30 	0.46	1.08	0.73	0.21	
E2	*	0.48	36.90 	16.90 	*	*	*	*	
E2	*	1.12	231.10	2.00  	*	*	*	*	
E2	*	0.74	258.60	81.70 	*	*	*	*	
E2	*	0.22	133.90	-77.60	*	*	*	*	
E2	E3	6.74	132.60	9.00  	0.81	1.03	0.30	0.20	
E3	*	0.95	34.10 	9.10  	*	*	*	*	
E3	*	1.08	226.80	0.20  	*	*	*	*	
E3	*	0.30	318.60	81.60 	*	*	*	*	
E3	*	0.20	24.80 	-89.30	*	*	*	*	
E3	E4	4.07	175.10	-0.90 	0.19	1.76	0.33	0.20	
E4	*	0.21	67.60 	21.80 	*	*	*	*	
E4	*	1.89	266.10	1.10  	*	*	*	*	
E4	*	0.33	247.10	82.60 	*	*	*	*	
E4	*	0.20	356.80	-82.60	*	*	*	*	
E4	E5	3.19	135.10	4.30  	1.03	0.21	0.43	0.49	
E5	*	1.04	43.30 	6.80  	*	*	*	*	
E5	*	0.22	232.60	8.00  	*	*	*	*	
E5	*	0.44	67.80 	80.20 	*	*	*	*	
E5	*	0.49	10.60 	-83.60	*	*	*	*	
E5	E6	4.40	126.40	2.80  	0.17	0.59	0.23	0.55	
E6	*	0.17	53.60 	-2.90 	*	*	*	*	
